Название,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Карачаево-Черкесская Республика,"697,76","855,53","978,41","1018,15","1102,43","1263,11","1364,35","1755,69","1948,25","1977,27","2784,48","2298,29","2497,87","2763,18","3313,31","3451,03","3534,75","3619,73","3857,74","3911,38","4360,35","5355,13","5424,15"
Республика Северная Осетия-Алания,"716,74","863,65","947,8","955,18","1130,91","1333,84","1387,69","1722,97","2017,33","1973,03","2672,62","2307,84","2458,65","2746,1","3388,66","3412,79","3526,51","3474,62","3719,24","3735,5","4184,05","5048,96","5119,21"
Чеченская Республика,,,,,"1428,99","1595,83","1620,85","2131,51","2168,47","2396,44","2998,8","2702,16","2941,71","3238,43","3556,57","3782,44","3707,6","3723,56","3974,35","3990,94","4489,26","5094,12","5638,17"
Ставропольский край,"699,05","877,52","994,73","1053,7","1167,04","1313,45","1433,11","1844,31","2065,24","2065,8","2800,42","2408,79","2546,03","2774,35","3386,48","3367,62","3457,87","3556,82","3889,3","3984,45","4432,88","5439,06","5479,94"
Приволжский федеральный округ,"732,72","869,66","985,41","1026,47","1145,16","1274,37","1347,39","1727,56","1936,15","1931,27","2613,25","2201,84","2386,99","2659,91","3301,2","3276,56","3382,34","3411,62","3654,66","3628,43","4057,71","4888,98","4999,62"
Республика Башкортостан,737,"843,64","962,52","991,6","1103,64","1260,85","1334,92","1713,85","1878,38","1932,4","2662,33","2225,19","2433,7","2708,66","3340,13","3317,43","3449,66","3460,85","3691,13","3676,38","4074,57","5012,24","5064,1"
Республика Марий Эл,"708,13","811,26","947,01","980,56","1102,65","1217,33","1278,68","1724,49","1939,76","1873,96","2594,13","2108,89","2213,34","2538,78","3246,22","3277,7","3441,78","3399,31","3645,38","3618,7","4051,38","4807,69","5013,38"
Республика Мордовия,"684,42","835,58","947,09","942,98","1177,39","1212,15","1280,5","1597,43","1845,93","1849,86","2607,41","2179,24","2289,6","2485,77","3148,42","3001,89","3102,5","3158,71","3431,13","3319,57","3781,83","4577,22","4729,11"
Республика Татарстан (Татарстан),"658,9","811,02","930,71","923,02","1080,05","1194,75","1260,42","1580,67","1776,09","1841,44","2504,86","2102,25","2302,91","2657,79","3280,43","3180,7","3296,28","3356,34","3563,64","3511,32","3949,96","4887,38","4860,37"
Удмуртская Республика,"748,18","859,91","964,48","995,45","1099,18","1207,94","1279,39","1633,61","1844,26","1851,23","2585,43","2106,1","2342,2","2711,92","3355,74","3252,83","3324,77","3347,17","3651,05","3651,78","3956,74","4861,3","5036,8"
Чувашская Республика - Чувашия,"689,13","838,27","918,9","947,79","1094,74","1183,86","1271,89","1648,07","1871,24","1865,37","2635,05","2132,92","2319,2","2552,32","3220,26","3147,52","3289,15","3325,3","3558,72","3568,84","4039,63","4964,6","5034,89"
Пермский край,"777,87","886,94","1005,59","1106,79","1179,03","1304,23","1377,23","1861,47","2154,52","2131,66","2933,78","2424,52","2640,03","2858,56","3443,61","3556,42","3625,21","3644,42","3809,23","3830,61","4237,06","5152,82","5376,45"
"Коми-Пермяцкий округ, входящий в состав Пермского края","700,62","827,18","907,89","978,06","1072,27",,,,,,,,,,,,,,,,,,
Кировская область,"698,65","836,82","956,5","1051,61","1170,84","1321,21","1393,31","1759,79","1996,29","1952,2","2732,08","2195,77","2438,39","2647,24","3250,58","3248,3","3281,22","3383,23","3611,45","3590,55","4010,92","4942,09","4964,57"
Нижегородская область,"730,25","890,48","972,49","1057,53","1186,84","1317,48","1388,4","1815,34","2000,16","1955,54","2705,47","2297,8","2416,38","2757,82","3462,84","3273,3","3455,76","3566,76","3805,22","3859,99","4253,47","5031,28","4977,15"
Оренбургская область,"750,94","865,26","963,63","1006,36","1085,2","1217,67","1320,99","1687,65","1857,97","1840,14","2453,87","2088,16","2349,39","2557,34","3155,48","3209,49","3291,55","3334,85","3614,41","3628,16","4056,07","4893,16","5146,36"
Пензенская область,"686,61","838,59","923,66","958,48","1134,22","1231,07","1332,98","1654,08","1915,56","1950,7","2615,06","2192,36","2241,7","2419,59","3078,73","3040,66","3147,04","3206,29","3511,55","3405,37","3783,95","4794,68","4758,22"
Самарская область,"825,88","1006,07","1138,31","1173,47","1275,62","1470,82","1494,1","1955,25","2210,69","2108,97","2761,08","2403,25","2551,05","2855,72","3565,22","3609,57","3689,39","3683,76","3977,91","3941,42","4440,31","4898,59","5041,76"
