Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Томская область,"Молоко сухое цельное, кг",,,,,,,,,"124,42","141,85","170,06","177,81","183,33","190,1","222,73","253,34",,,,,,,
Томская область,"Молоко сгущенное с сахаром, 400 г",,,"17,23","18,36",19,"20,2","22,09","29,12","31,58","35,03","39,87","41,5","42,2","44,36","48,05","54,68","57,96","57,75","60,44","66,71","77,24",,
Томская область,"Смеси сухие молочные для детского питания, кг",,,"200,76","221,59","239,08","260,78","312,39","355,23","427,46","483,72","538,97","579,88","609,3","637,01","688,66","841,15","876,97","882,33","873,67","912,39","901,6","984,63","1056,79"
Томская область,"Сыры сычужные твердые и мягкие, кг",,,"99,65","109,29","119,5","132,47","132,65","225,84","200,66","223,09","254,62","254,89","244,09","316,46","371,61","364,82","374,89","357,28","406,42","455,72","468,33","508,03",
Томская область,"Сыры плавленые, кг",,,"79,05","84,51","83,48","84,67","86,07","109,45","112,8","115,09","127,43","131,2","135,6","141,58","147,41","165,1","174,5","178,63","183,39","261,52","401,02","456,17","580,58"
Томская область,"Национальные сыры и брынза, кг",,,,"98,59","108,27","115,77","120,23","179,4","179,29","190,08","230,01","233,57","243,45","299,31","345,25","391,82","420,34","428,25","454,06","533,48","568,46",600,"709,24"
Томская область,"Консервы овощные закусочные, обеденные, кг",,,34,"36,14","37,01","43,6","48,25","50,46","58,06","78,14","82,79","86,27","80,31",,,,,,,,,,
Томская область,"Овощи натуральные консервированные, маринованные, кг",,,"38,55","40,29","43,82","47,08","52,86","48,69","53,77","57,68","63,56","69,84","73,24","79,9","97,71","114,85","120,17","125,69","133,1","131,09","145,78","156,61","206,5"
Томская область,"Консервы овощные для детского питания, кг",,,"111,34","124,39","138,04","153,06","162,6","188,63","220,32","234,51","240,26","257,44","292,08","340,52","358,9","471,16","490,45","502,73","512,47","544,03","550,93","565,03","678,76"
Томская область,"Консервы томатные, кг",,,35,"42,89","45,44","49,97","54,81","60,35","80,22","91,73","79,17","79,63","82,25","88,63","107,62","143,93","162,79","163,7","163,98","170,61","202,34","213,07","260,72"
Томская область,"Кетчуп, кг",,,,"44,6","50,25","53,26","58,64","79,26","104,02","110,95","102,85","93,72","99,77","115,8","129,45","154,43","198,9","201,51","205,15","211,85","207,55","227,15","250,95"
Томская область,"Соки фруктовые, л",,,"27,61","27,84","31,03","33,76","36,17","41,82","46,86","50,36","51,08","57,38","61,8","62,42","66,78",80,"92,31","93,11","93,83","106,36","118,03","92,99","106,99"
Томская область,"Консервы фруктово-ягодные для детского питания, кг",,,"100,64","105,3","116,91","124,74","136,76","140,57","175,07","184,39","190,34","203,58","213,91","249,45","273,11","327,28","349,11","356,02","379,51","386,23","407,35","434,99","580,08"
Томская область,"Яйца куриные, 10 шт.",,,"19,3","21,83","25,78","23,5","25,19","33,1","35,81","32,61","36,54","38,04","39,93","46,14","54,16","56,63","60,02","50,71","60,79","60,63","70,11","81,76","77,8"
Томская область,"Сахар-песок, кг",,,"20,78","20,01","20,4","23,9","23,38","23,35","28,74","41,43","46,18","32,66","32,97","34,29","61,34","56,59","49,44","41,59","51,81","35,42","52,22","60,81","66,83"
Томская область,"Печенье, кг",,,"26,41","29,06","32,68","35,82","41,74","50,7","67,07","72,53","79,54","89,61","90,3","95,43","114,15","130,38","132,08","131,2","131,42","138,6","157,31","188,37","237,91"
